"---"	"جیھانی"	"تورکیا"	"ئێران"	"عێراق"	"سووریا"
"کرمانجی"	"١٤٬٤١٩٬٠٠٠"	"٧٬٩١٩٬٠٠٠"	"٤٤٣٬٠٠٠"	"٣٬١٨٥٬٠٠٠"	"١٬٦٦١٬٠٠٠
"
"ئەوانەی بە تورکی دەدوێن"	"٥٬٧٣٢٬٠٠٠"	"٥٬٧٣٢٬٠٠٠"	"-"	"-"	"-
"
"باشوور"	"٣٬٣٨١٬٠٠٠"	"-"	"٣٬٣٨١٬٠٠٠"	"-"	"-
"
"سۆرانی"	"١٬٥٧٦٬٠٠٠"	"-"	"٥٠٢٬٠٠٠"	"٥٦٧٬٠٠٠"	"-
"
"زازایی - دەملی"	"١٬١٢٥٬٠٠٠"	"١٬١٢٥٬٠٠٠"	"-"	"-"	"-
"
"زازایی - ئەلڤێکا"	"١٨٤٬٠٠٠"	"١٧٩٬٠٠٠"	"-"	"-"	"-
"
"ڕەوەند"	"٩٠٬٠٠٠"	"٣٨٬٠٠٠"	"٢٠٬٠٠٠"	"٣٣٬٠٠٠"	"-
"
"ھەورامی"	"٥٤٬٠٠٠"	"-"	"٢٦٬٠٠٠"	"٢٨٬٠٠٠"	"-
"
"شکاکی"	"٤٩٬٠٠٠"	"٢٣٬٠٠٠"	"٢٦٬٠٠٠"	"-"	"-
"
"کۆی گشتی"	"٢٦٬٧١٢٬٠٠٠"	"١٥٬٠١٦٬٠٠٠"	"٤٬٣٩٨٬٠٠٠"	"٣٬٩١٦٬٠٠٠"	"١٬٦٦١٬٠٠٠"