အင်္ဂလိပ်အမည်	မြန်မာအမည်	မြို့တော် 	ISO	နေရာဒေသ 	လူဦးရေ _၂၀၁၄	ဧရိယာ	အမျိုးအစား
Ayeyarwady 	ဧရာဝတီ 	ပုသိမ်မြို့ 	MM-07 	အောက်ပိုင်း 	၆,၁၈၄,၈၂၉ 	၃၅,၀၃၁.၈ 	တိုင်းဒေသကြီး
Bago 	ပဲခူး 	ပဲခူးမြို့	MM-02 	အောက်ပိုင်း 	၄,၈၆၇,၃၇၃	၃၉,၄၀၂.၃ 	တိုင်းဒေသကြီး
Chin 	ချင်း 	ဟားခါးမြို့ 	MM-14 	အနောက်ပိုင်း 	၄၇၈,၈၀၁ 	၃၆,၀၁၈.၈ 	ပြည်နယ်
Kachin 	ကချင် 	မြစ်ကြီးနားမြို့ 	MM-11 	မြောက်ပိုင်း 	၁,၆၈၉,၄၄၁	၈၉,၀၄၁.၈ 	ပြည်နယ်
Kayah 	ကယားကယား	လွိုင်ကော်မြို့ 	MM-12 	အရှေ့ပိုင်း 	၂၈၆,၆၂၇ 	၁၁,၇၃၁.၅ 	ပြည်နယ်
Kayin 	ကရင် 	ဘားအံမြို့ 	MM-13 	တောင်ပိုင်း 	၁,၅၇၄,၀၇၉	၃၀,၃၈၃ 	ပြည်နယ်
Magway 	မကွေး 	မကွေးမြို့ 	MM-03 	အလယ်ပိုင်း 	၃,၉၁၇,၀၅၅	၄၄,၈၂၀.၆ 	တိုင်းဒေသကြီး
Mandalay 	မန္တလေး 	မန္တလေးမြို့ 	MM-04 	အလယ်ပိုင်း 	၆,၁၆၅,၇၂၃	၃၇,၉၄၅.၆ 	တိုင်းဒေသကြီး
Mon 	မွန် 	မော်လမြိုင်မြို့ 	MM-15 	တောင်ပိုင်း 	၂,၀၅၄,၃၉၃	၁၂,၂၉၆.၆ 	ပြည်နယ်
Rakhine 	ရခိုင် 	စစ်တွေမြို့ 	MM-16 	အနောက်ပိုင်း 	၃,၁၈၈,၈၀၇	၃၆,၇၇၈.၀ 	ပြည်နယ်
Shan 	ရှမ်း 	တောင်ကြီးမြို့၂ 	MM-17 	အရှေ့ပိုင်း 	၅,၈၂၄,၄၃၂	၁၅၅,၈၀၁.၃ 	ပြည်နယ်
Sagaing 	စစ်ကိုင်း 	မုံရွာမြို့ 	MM-01 	မြောက်ပိုင်း 	၅,၃၂၅,၃၄၇	၉၃,၇၀၄.၈ 	တိုင်းဒေသကြီး
Tanintharyi 	တနင်္သာရီ 	ထားဝယ်မြို့ 	MM-05 	တောင်ပိုင်း 	၁,၄၀၈,၄၀၁	၄၄,၃၄၄.၉ 	တိုင်းဒေသကြီး
Yangon 	ရန်ကုန် 	ရန်ကုန်မြို့ 	MM-06 	အောက်ပိုင်း 	၇,၃၆၀,၇၀၃	၁၀,၂၆၇.၇ 	တိုင်းဒေသကြီး
Naypyidaw 	နေပြည်တော် 	နေပြည်တော် 	MM-18 	အလယ်ပိုင်း 	၁,၁၆၀,၂၄၂	၇,၀၅၄ 	ပြည်ထောင်စုနယ်မြေ