"Dénomination "	"Chef-lieu de région "	Superficie (km2)	Population (2019)	"Population estimée (2022) "	"Densité (2019) (hab./km2) "	Code Insee
Occitanie	Toulouse	72 724	5 933 185	6 053 548	81,6	76
Grand Est	Strasbourg	57 441	5 556 219	5 542 094	96,7	44
Normandie	Rouen	29 907	3 325 032	3 307 286	111,2	28
Bretagne	Rennes	27 208	3 354 854	3 402 932	123,3	53
Île-de-France	Paris	12 011	12 262 544	12 395 148	1020,9	11
Centre-Val de Loire	Orléans	39 151	2 573 180	2 564 915	65,7	24
Pays de la Loire	Nantes	32 082	3 806 461	3 873 096	118,6	52
Provence-Alpes-Côte d'Azur	Marseille	31 400	5 081 101	5 131 187	161,8	93
Auvergne-Rhône-Alpes	Lyon	69 711	8 042 936	8 153 233	115,4	84
Hauts-de-France	Lille	31 806	6 004 947	5 987 172	188,8	32
Bourgogne-Franche-Comté	Dijon	47 784	2 805 580	2 785 393	58,7	27
Nouvelle-Aquitaine	Bordeaux	84 036	6 010 289	6 081 985	71,5	75
Corse	Ajaccio	8 680	340 440	349 465	39,2	94